Sample in Buffer,Sample in Window,TRIGGER,us_sensor_0_i/after_echo_count_ff[31:0],object_det_OBUF
0,0,0,00050466,0
1,1,0,00050467,0
2,2,0,00050468,0
3,3,0,00050469,0
4,4,0,0005046a,0
5,5,0,0005046b,0
6,6,0,0005046c,0
7,7,0,0005046d,0
8,8,0,0005046e,0
9,9,0,0005046f,0
10,10,0,00050470,0
11,11,0,00050471,0
12,12,0,00050472,0
13,13,0,00050473,0
14,14,0,00050474,0
15,15,0,00050475,0
16,16,0,00050476,0
17,17,0,00050477,0
18,18,0,00050478,0
19,19,0,00050479,0
20,20,0,0005047a,0
21,21,0,0005047b,0
22,22,0,0005047c,0
23,23,0,0005047d,0
24,24,0,0005047e,0
25,25,0,0005047f,0
26,26,0,00050480,0
27,27,0,00050481,0
28,28,0,00050482,0
29,29,0,00050483,0
30,30,0,00050484,0
31,31,0,00050485,0
32,32,0,00050486,0
33,33,0,00050487,0
34,34,0,00050488,0
35,35,0,00050489,0
36,36,0,0005048a,0
37,37,0,0005048b,0
38,38,0,0005048c,0
39,39,0,0005048d,0
40,40,0,0005048e,0
41,41,0,0005048f,0
42,42,0,00050490,0
43,43,0,00050491,0
44,44,0,00050492,0
45,45,0,00050493,0
46,46,0,00050494,0
47,47,0,00050495,0
48,48,0,00050496,0
49,49,0,00050497,0
50,50,0,00050498,0
51,51,0,00050499,0
52,52,0,0005049a,0
53,53,0,0005049b,0
54,54,0,0005049c,0
55,55,0,0005049d,0
56,56,0,0005049e,0
57,57,0,0005049f,0
58,58,0,000504a0,0
59,59,0,000504a1,0
60,60,0,000504a2,0
61,61,0,000504a3,0
62,62,0,000504a4,0
63,63,0,000504a5,0
64,64,0,000504a6,0
65,65,0,000504a7,0
66,66,0,000504a8,0
67,67,0,000504a9,0
68,68,0,000504aa,0
69,69,0,000504ab,0
70,70,0,000504ac,0
71,71,0,000504ad,0
72,72,0,000504ae,0
73,73,0,000504af,0
74,74,0,000504b0,0
75,75,0,000504b1,0
76,76,0,000504b2,0
77,77,0,000504b3,0
78,78,0,000504b4,0
79,79,0,000504b5,0
80,80,0,000504b6,0
81,81,0,000504b7,0
82,82,0,000504b8,0
83,83,0,000504b9,0
84,84,0,000504ba,0
85,85,0,000504bb,0
86,86,0,000504bc,0
87,87,0,000504bd,0
88,88,0,000504be,0
89,89,0,000504bf,0
90,90,0,000504c0,0
91,91,0,000504c1,0
92,92,0,000504c2,0
93,93,0,000504c3,0
94,94,0,000504c4,0
95,95,0,000504c5,0
96,96,0,000504c6,0
97,97,0,000504c7,0
98,98,0,000504c8,0
99,99,0,000504c9,0
